,nickname,text,score,like,dislike,time,watch_movie
0,채미니(chae****),뻔한 슬픈영환데... 오랜만에 영화보고 울었습니다. 중간에 달달하기도하고 재밌고 영상도 예쁘고 잘봤습니다.,10,0,0,2013-07-20 17:49:00,0
1,소 녀(cowb****),완전감동이에요ㅜㅜㅜ,10,0,0,2013-07-20 10:48:00,0
2,gsa0****,완전 감동이에요,10,0,0,2013-07-20 02:22:00,0
3,고소미(sumi****),뻔한데 재밌고슬픈영화,9,0,0,2013-07-19 18:22:00,0
4,Dreaming(gkdm****),울음이 멈추지 않았다어쩌면 뻔하다면 뻔하다고 할수있는 사랑이야기일수도 있다. 하지만 너무나 감동적이고 계속 여운이 남는 영화이다,10,0,0,2013-07-19 02:36:00,0
5,cjch****,뻔한것같아도 짠하네요.,9,0,0,2013-07-18 05:08:00,0
6,khrg****,아진짜 대만영화중 갑!! 조금은 뻔하다볼수있지만 전혀뻔하지않음,9,0,0,2013-07-18 02:42:00,0
7,ini7****,너무 감동적!!!,10,0,0,2013-07-16 19:36:00,0
8,아흥(jeon****),뻔한 내용 하지만 미소짓다 울게 만드는 영화 오래된 연인은 둘의 관계를 돌아보게 되는 영화오랜만에 마음이 따뜻해졌습니다,10,0,0,2013-07-16 14:22:00,0
9,영원(ssjj****),ㅠㅠㅠ,10,0,0,2013-07-16 00:29:00,0
10,3chl****,너무감동적이고 슬퍼요 ㅠ ㅠ 정말잘봤어요 !!♥,10,0,0,2013-07-16 00:22:00,0
11,rena****,중국형 로맨틱러브스토리영화,8,0,0,2013-07-06 16:10:00,0
12,해피바이러스(samr****),오랜만에 영화를 보는내내 가슴이 먹먹했네요. 리싱과 차오차오 너무 예쁜 커플이지만 스토리상 너무 슬프네요! 두고두고 꺼내볼꺼 같아요! 강추!,10,0,0,2013-07-06 06:13:00,0
13,꼴통(mada****),날 울리다니ㅠ,9,0,0,2013-06-30 15:30:00,0
14,오뎅(ilov****),뻔한 이야기인데 잔잔하고 재밌었어요~!,7,0,0,2013-06-29 19:39:00,0
15,보영포레버(cona****),다 아는 스토리인데 눈물이 글썽글썽^^;,9,0,0,2013-06-28 16:54:00,0
16,dks7****,어제 봤는데 ..여운이 아직까지... 뻔한스토리지만  눈떼지 않고 봤어요,8,0,0,2013-06-27 14:27:00,0
17,고은미(kocr****),웃음 유발 새드 무비,7,0,0,2013-06-26 02:34:00,0
18,얌얌낙지(na24****),너무뻔한스토리ㅠㅜ결말까지아쉬웟음...중간중간깨알재미는좋앗어요,6,0,0,2013-06-25 03:50:00,0
19,박미정(mick****),뻔하지만 뻔하지않은 이야기. 눈물샘 자극 제대로임!!!! 추천합니다,9,0,0,2013-06-25 01:48:00,0
20,연합통신(apre****),여주인공이 살린 뻔한 이야기.,6,0,0,2013-06-24 17:16:00,0
21,쇼타임(pcjk****),멜로 영화를 영화관에서 본 것도 참 오랜만... 후반부에 눈물이 도저히 참아지질 않았다..,9,0,0,2013-06-24 16:16:00,0
22,wise****,"너무식상하고 진부했다..하지만 중간중간 달달하고 귀여운장면, 눈물샘자극하는 연기들이 볼만은했다",5,0,0,2013-06-24 15:40:00,0
23,flyjenn(seow****),남자친구랑같이안보는게나을듯. 기대보다별로네요,7,0,0,2013-06-23 20:07:00,0
24,해담솔(toim****),짜임새 좋은 뻔한 멜로. 펑위옌이 급노화를...;;,5,0,0,2013-06-23 11:17:00,0
25,노란대문(rock****),적당히 신파적인 로맨스~,7,0,0,2013-06-22 23:42:00,0
26,미카(mica****),슬픈사랑의 이야기를 차분하게 잘 풀어낸 영화. 영화에 나오는 북경에 있는 이쁜 찻집에 가보고 싶네요.,9,0,0,2013-06-22 23:32:00,0
27,나야(kirr****),기댜없이 봤는데 첫사랑을 떠올리게 하는 슬픈이야기...,10,0,0,2013-06-22 23:01:00,0
28,요메이(1129****),재밌었어요. ㅎㅎ,9,0,0,2013-06-22 20:05:00,0
