,nickname,text,score,like,dislike,time,watch_movie
0,aldz****,꼭 보세요ㅠㅠ 안보시면 후회합니다,10,3,3,2013-07-15 00:50:00,0
1,빵율맘(r105****),가슴을먹먹하게만드는 러브스토리네요 ..연인들과같이보세요^^ 옆에있는사람의소중함도알꺼같네요 슬프고도아름다운 이야기  이별계약  강츄,10,3,3,2013-07-05 10:08:00,0
2,설레임0o(y_eo****),펑청울었어요 ㅠ.ㅠ,10,3,3,2013-06-27 19:19:00,0
3,theANSWER(pcpc****),진짜 그냥 너무 슬프다...,10,3,3,2013-06-26 17:50:00,0
4,junu****,뻔하지만뻔하지않은사랑영화...,10,3,3,2013-06-23 20:44:00,0
5,감수성(rlat****),뻔한 스토리 뻔하지않은 전개,8,3,3,2013-06-22 15:04:00,0
6,서율(totf****),중국 영화에 끼얹은 한국적인 감성들. 그 뻔한 흐름에 울고 웃는 내가 있더라.,10,3,3,2013-06-21 17:24:00,0
7,dudy****,철 지난 한국 신파 멜로를 보는 듯한 촌스러움.,6,4,4,2016-08-04 18:36:00,0
8,하이리(sosh****),배우들도 좋고 중반까진 좋았다. 하지만 여주인공의 최후란 ... 소름돋게 어이없는 스토리,2,4,4,2016-02-12 12:58:00,0
9,이서영(ung0****),엄청재미있음!보면볼수록 빠져드는 영화!,9,4,4,2014-07-01 00:34:00,0
10,스튜이(hhw1****),스토리가 매우 탄탄하다눈물을 원한다면..,9,4,4,2014-06-21 19:37:00,0
11,하리(hari****),설득력 없이 허술할대로 허술한 스토리. 영화가 막장으로 치닫으면 치닫을수록 눈물을 강요받는 듯한 느낌을 지울 수 없었다. 평점을 보니 이래서 신파극이 무서운 듯,3,4,4,2014-01-26 18:40:00,0
12,Jin(agen****),욕할라고 들어왔는데 한국감독이라니...평점 알바냐. 유치해서 손과발이 다 사라질지경..,5,4,4,2014-01-09 19:51:00,0
13,애니팬(kfg0****),솔직히 재미 자체는 별로 없다 하지만 정말 슬프다... 영화보고 운 적은 처음이다,9,4,4,2013-07-02 16:47:00,0
14,choi 갱(rudw****),15년전  한국 멜로영화를 다시 본 느낌.,4,4,4,2013-07-01 22:32:00,0
15,반전이필요해(hap3****),진부하다.,7,4,4,2013-06-26 20:21:00,0
16,유타(yuta****),좋아요!!!!,9,4,4,2013-06-24 04:10:00,0
17,루지(leej****),슬픈이야기인데 웃는다...,2,4,4,2013-06-22 22:49:00,0
18,짱친(coeo****),진부하나눈물펑펑흘렸습니다ㅜㅠ여주인공한테감정이입해어봤네요,9,4,4,2013-06-20 19:30:00,0
19,니노우상(cool****),오랜만에 실컷울게 해준것만으로도 감사해욧!펑위옌멋있네,10,4,4,2013-06-20 12:45:00,0
20,로로필름(roro****),"애틋하다....... 첫사랑의 설레임, 아픔이 묻어나는 순수한 영화.. ㅠㅠㅠㅠㅠ",10,4,4,2013-06-20 08:33:00,0
21,HOBICHU(rudt****),31살여자 36살남자 커플 같이 봄. 남친이랑 폭풍오열함. 스토리는 로맨스가 다 그렇듯 눈에 보임. 근데 연기력이 받쳐주니 개몰입되서 오열하게 되는 영화. 진심강추ㅜ 대만영화의 인식을 바꿔준 영화. 평점 속는셈치고 ...,10,5,5,2018-04-20 08:16:00,0
22,봄봄(tkdq****),설렁탕을 사왔는데왜 먹질 못하니...,10,5,5,2016-03-06 01:35:00,0
23,이애리(aery****),보면서 겁나울었다ㅠ너무애뜻하고 진짜사랑하는 리싱 ㅜㅜ ㅠ마지막까지 함께있어줘서 고마워,10,5,5,2016-02-08 15:32:00,0
24,BitterSweet(gigy****),ㅠㅠ 슬프다고 엄청...,10,5,5,2014-08-04 14:45:00,0
25,담당자(guu0****),진짜개지린다 OO 나남잔데 진짜 밤에혼자 존나 쳐울면서봣다진짜 꼭봐라,10,5,5,2014-08-01 17:46:00,0
26,지은이뿅뿅(minf****),억지웃음과 울음포인트맞지않는 전개와 정해져있는 결말딱 10대여성전용영화,1,5,5,2014-07-14 14:12:00,0
27,HA(spdl****),ㅠㅠ슬프다..우리나라도한번리메이크됬으면좋겠다,10,5,5,2014-07-12 01:31:00,0
28,SUNbluesea(8640****),ㅠㅠ슬프당....ㅠㅠ....,10,5,5,2014-07-10 19:58:00,0
29,hell****,평이 좋아서 정말 기대를 많이 하고 봤는데 솔직히 실망이었음..스토리가 너무 진부함..수없이 울궈먹었던 스토리라 첨부터 예상이 가능했던 전개였음..그리고 남주에 비해 여주가 너무 일반인외모라 친근감은 느껴졌지만 둘이...,5,5,5,2014-03-15 15:33:00,0
30,소울킴(qkqh****),너무한거아니냐이건?,4,5,5,2013-11-07 00:58:00,0
31,Angie(love****),"방금 무비꼴라쥬로 보고왔는데 너무 여운이 남는 영화인 것 같습니다.. ㅠㅠ 솔직히 사랑이야기는 어느정도 비슷한 소재가 많아서.. 예상은 했지만, 이야기는 둘째치고, 배우들의 연기력도 넘 좋았고, 남주 눈빛만 봐도 저...",9,5,5,2013-07-21 00:27:00,0
32,우유꽃(birt****),"한사람을 위해서 저렇게 오랜시간 동안 사랑한다는게 정말 가능한 일일까, 누군가를 위해서 변하고 발전하고 앞으로 나아간다는건 정말 아름다운일인 것 같다. 비록 그 끝은 허무한듯 했지만 평생 아름다웠던 순간일 것이다. ...",9,6,6,2018-02-27 21:27:00,0
33,진경(nam0****),밤에 소리안내고 보느라 끅끅대면서 엄청 울었어요,10,6,6,2014-07-30 11:00:00,0
34,Hera(arhe****),열받게 답답하고 유치한 짬뽕내용~,3,6,6,2013-10-29 21:34:00,0
35,luck****,시한부만은 아니길 바랬지만 흐르는 눈물은 참을 수 없었다,6,6,6,2013-07-03 01:57:00,0
36,죽림무현(azaa****),"마지막에서 눈물샘을 자극했던 영화, 하지만 가슴이 뜨겁지 못했던 영화.",6,6,6,2013-06-23 22:50:00,0
37,엄마사랑(thef****),평점이 너무 높음 댓글도 그렇고.. 그냥 그럭저럭 3류로멘스  시간때우기 밖엔 안됨 솔직히,1,7,7,2015-09-01 12:30:00,0
38,키라(kila****),지저분한 플롯. 로맨틱 코미디 장르면 해피엔딩으로 끝까지 재밌게 가야지 억지로 감동을 주려고 너무 욕심을 많이 부렸다.,1,7,7,2015-05-03 17:24:00,0
39,김현정(1552****),유치하고 뻔하다한사람들 니네가 한번 만들어봐라 그렇게 잘났으면 직접만들지 영화는 왜보는지ㅋㅋ,10,7,7,2014-07-21 03:12:00,0
40,채움늘(almo****),10대 여자들이 좋아할 만하다,3,7,7,2014-07-20 18:02:00,0
41,라온(rick****),"끝까지 이기적인 한 여자, 끝까지 바보 같은 한 남자. 억지스럽다.",4,7,7,2014-02-18 21:00:00,0
42,블루칩(ssh4****),청설때부터 펑위옌 나오는영화는 거의 다봤다 근데 이번에 이놈 한국에서 한짓거리 대만방송에서 한국비하로 말하는거보고 정내미 다떨짐 다신 한국오지마라 못본사람들은 찾아보던가요 아무리 배우가좋아도 한국비하하면 짜증나서 다...,1,7,7,2013-07-10 04:02:00,0
43,벤자민(keke****),영화시작하자마자 스토리 다 꿰뚫고시작....근데 펑펑울었다.....삼류막장드라마 스토리일수도 있었던 이영화 나에겐 최고의 멜로영화가됐다. 봐도봐도 눈물날듯 마지막 워아이니.....잊지못할것같다.,10,7,7,2013-06-27 02:18:00,0
44,2000****,너무너무 잘아는 스토리... 지루해서 끝까지 보기 힘들었다.,1,7,7,2013-06-25 21:00:00,0
45,대박사건(pooo****),기대한 내가 바보...,1,8,8,2013-08-14 14:03:00,0
46,수현바라기29(cofl****),저는 정말  재밌게 봤어요.정말 실컷 울고 웃음도 많이나고저는 이 영화를 막울고싶은 그런날에 강추 해드려요!!!,10,8,8,2013-07-03 23:07:00,0
47,영(aiik****),"한국 드라마에 자주 나오는 소재들을 묶어놓은 느낌.게다가 개연성도 떨어지고, 영화가 뚝뚝 끊기는 느낌이다.전형적인 한국 막장 드라마는 티비에서 보는 걸로도 충분하다. 드라마를 영화관에서 볼 필요는 없는 듯.",3,8,8,2013-06-26 09:45:00,0
48,gkwl****,어떻게 보면 진부하지만 정말 감동적이었다.,10,9,9,2013-07-16 13:07:00,0
49,thin****,배우들은 사랑스럽고 감독은 원망스럽고 두시간동안 이 영화를 보는 내가 안쓰럽다. -_-,3,9,9,2013-06-20 17:57:00,0
50,최노인(gtop****),리싱이랑 마오마오가 그릇 깨면서 울분할때 너무 슬펐음..,10,10,10,2014-07-09 19:38:00,0
51,최연수(yeon****),정말재밋게봣다ㅜㅜ또보고싶다,10,10,10,2014-07-03 17:33:00,0
52,해피데이(tmdg****),너무 뻔해요   사람마다 감동을 받는 건 다른가봅니다,1,10,10,2014-03-08 22:59:00,0
53,zxcasd(aqsw****),전형적인 삼류영화. 재미도 없고 감동도 없고 시간만 아까움. 아오 1점도 아깝다ㅡㅡ,1,11,11,2015-01-30 10:09:00,0
54,john titor(sgs9****),영화를 보고 운건 처음이다,10,11,11,2014-07-20 14:57:00,0
55,안해(ghkf****),난 좋았다....^^;,10,12,12,2014-07-22 17:22:00,0
56,일회용품(left****),"내인생 최악의영화.억지스러움, 유치함, 진부함의 결정체내용, 촬영기법, 편집, 연기,영화음악까지 전부 바닥을 치는 수준 아니, 바닥을 뚫는 수준..화가나서 참느라 힘들었다.",1,12,12,2013-07-06 03:06:00,0
