,nickname,text,score,like,dislike,time,watch_movie
86,ym94****,오랜만의 수작! 벤자민버튼의 시간은 거꾸로 간다 이후로 나온 작들 중 굉장히 만족스러움,10,0,0,2013-08-05 23:55:00,0
87,성월(joys****),"영화 20~30분후부터 내용을 짐작하게하게 하는게 흠이지만, 주인공들의 연기가 예쁘다.",7,0,0,2013-08-04 14:28:00,0
88,류키(hikk****),뻔한스토리와 굳세어라여캐릭땜에 좀 짜증나디가도 마지막땜에 좋앗음..,8,0,0,2013-08-03 16:17:00,0
89,tkdr****,솔직히 진부한 스토리이긴 한 것 같지만.. 전 진부하더라도 재미있는 영화가 좋더라구요ㅠㅠ 차오차오도 너무 귀엽고 리싱도 멋있고ㅠㅠㅠ,9,0,0,2013-08-02 15:26:00,0
90,w111****,ㅈㄱㅇㄴㄷㄱㄴㅇㄹ,9,0,0,2013-07-30 20:12:00,0
91,민트리본(bgh1****),보면서계속울고 ㅠㅠ 감동있고 재밌네요,10,0,0,2013-07-27 20:03:00,0
92,오명숙(iyoi****),그냥 무조건 보시길..,10,0,0,2013-07-25 01:28:00,0
93,dls5****,진짜 감동 ㅠㅠㅠㅠ멋있다,10,0,0,2013-07-24 21:49:00,0
94,sytk****,슬프다. 좋다.,10,0,0,2013-07-22 16:25:00,0
95,태양(kimj****),워헌아이니 ... 기억 남는다...보면서 계속 울었다...,10,0,0,2013-07-22 10:35:00,0
96,pils****,세련된 영상미 뒤에 진부하기 그지없는 스토리,4,0,0,2013-07-22 00:59:00,0
97,쪼매(eun_****),귀엽고 예쁜 발랄한영화.!,10,0,0,2013-07-21 20:59:00,0
98,치킨런(sidh****),달달할줄만 알았는데 왜케 슬프...ㅜ,10,0,0,2013-07-21 15:29:00,0
99,sigris(jini****),너무보고싶었던 달달하고 슬픈영화,10,0,0,2013-07-21 08:37:00,0
