,nickname,text,score,like,dislike,time,watch_movie
0,뭐(seco****),보고 다운받아서 또보고 소장해서 나중에 다시  보세요 긴말안합니다  지금까지 제가 본영화중 제일 좋네요,10,1,1,2014-07-22 23:52:00,0
1,akff****,티비에서 하길래 보게 됬는데 오랜 만에 감명깊은 시간이 됐어요너무 잘 봤어요!,10,1,1,2014-07-22 17:32:00,0
2,미친염소(wkdt****),진짜 보면서 눈물...,10,1,1,2014-07-20 12:18:00,0
3,한글(phr0****),처음엔 되게 뻔하다 싶었는데 뒤로갈수록 너무 마음이 아팠다..,10,1,1,2014-07-07 07:51:00,0
4,김보경(ddeg****),로맨틱 코미디인 줄 알았는데 멜로 영화였다니ㅠㅠ 감동도 주고 내용도 굿!,10,1,1,2014-06-29 03:40:00,0
5,저지방휘발유(ghdd****),편견이 있어서 그냥 중국영화겠지 했는데...보는내내 울었네,10,1,1,2014-06-11 21:09:00,0
6,iucd****,무언가 익숙한 내용.. 하지만 잊고 있던던 무언가를 꺼내주듯 아련함을 선물하는 영화^^ 이런 영화가 참... 좋습니다!,10,1,1,2014-03-24 10:27:00,0
7,Soan(mice****),결국 울고 말거야...,9,1,1,2014-02-03 04:03:00,0
8,이지언(dlwl****),너무 좋다ㅠㅠㅠㅠ살짝 일본영화 연공이랑 비슷한 느낌이나긴하지만 정말 펑펑 운거같다,10,1,1,2014-01-26 03:42:00,0
9,tlax****,난 이게 8점대라는게 이해가 안간다 감정마른분들아ㅡㅡ,10,1,1,2014-01-15 02:55:00,0
10,kis5****,오기환 10여년전 이영애 이정재 주연 선물을 연출한 감독이네. 중국판 리메이크버전이라 봐야할듯. 중국.대만쪽 멜로물들 상큼.풋풋해서 좋아하는데 잘나가다 시한부나와서 확떨어지더라. 펑위옌도 얼굴이 점점 맛이가는구나.,6,1,1,2014-01-06 03:02:00,0
11,찐쩐런(kimj****),정말 감동이에요.ㅠㅠ애인이랑 꼭 다시 보고싶은 영화,10,1,1,2014-01-03 21:28:00,0
12,바다가좋아요(choo****),"진짜 평소 좋아하는 배우들이라, 배우들 연기 감상이라도 할 수 있어, 버틸 수 있었다. 한국제작, 감독... 부끄러운 줄 알아라.",2,1,1,2013-08-26 23:20:00,0
13,마음씨(aizo****),진부한 복선이지만 주인공들의 순진하고 진정성 있는 감정을 천천히 따라가면서 느낄 수 있었습니다. 상영관이 적고 시간대도 매우 애매해서 혼자봤는데.. 비오는 날 잔잔히 여운이 남아서 좋았습니다,9,1,1,2013-07-10 22:32:00,0
14,appl****,좋아요,10,1,1,2013-07-10 08:37:00,0
15,두산(ghdr****),바이바이허때문에 몰입해서 보긴했는데 스토리상으로나 촬영적인측면으로나 너무 관객을 억지로 몰입시키려고 한다는.. 그리고 너무 스토리가너무뻔히보이는것 같아서 안타까운 영화,4,1,1,2013-07-07 01:22:00,0
16,때늦은비는(zozo****),"공짜표 생겨서 마지 못해 봤는데, 왜케 슬프냐~~ 흑흑흑~~ 망설이신다면 그냥 보세요. 오랜만에 극장에서 눈물을....",10,1,1,2013-07-03 14:46:00,0
17,하릇(jiha****),진짜 관객들 울면서 봤어요 마지막 반전 이후에 폭풍눈물 ㅜㅠ 뻔한 스토리인데 계속 빠져들게 되네요,10,1,1,2013-06-30 09:07:00,0
18,다키안(dktk****),대박,10,1,1,2013-06-28 18:01:00,0
19,10곡광연(ggj1****),아주 좋아요,10,1,1,2013-06-28 12:55:00,0
20,토리(ld01****),또 보고싶은 그런 영화. 엄청 울었어요ㅜ.ㅜ 리싱♥,10,1,1,2013-06-28 10:58:00,0
21,보드라운여인(warm****),"뻔한내용이지만, 요즘 이런 감성영화가 흔치않기때문에~한번쯤 봐도 좋을영화예요~깨끗한 영상도 좋고~추천해요~",8,1,1,2013-06-27 17:20:00,0
22,semo****,중국에서 개봉하자마자 봤던영화. 엄청울었네ㅜㅜ,10,1,1,2013-06-27 14:59:00,0
23,데미안(bees****),잔잔한 감동.. 유치할것 같은 전개였지만 급 슬퍼져서 사랑이라는 여운을 남긴 작품 .. 전혀 끝은 유치하지 않은 진한 눈물과 여운 ㅠㅠ 좋았어요,10,1,1,2013-06-27 13:06:00,0
24,외대할비(wkd9****),남자혼자서 처음  혼자 영화관가서 본 영화가 이건데 원래 이런 영화 좋아하지만 진짜 내용 뻔히 보이지만.. 배우들의 감정에 나도 모르게 이입되어서 보는 내내 나의 사랑또한 생각나고 가슴 아프더라..,10,1,1,2013-06-27 12:05:00,0
25,콧대높은봉자(kimc****),좋다....,10,1,1,2013-06-25 20:26:00,0
26,54차원blue별(jjan****),한국 개봉하기 전에 봤는데 ㅋㅋㅋㅋㅋ 저는 개인적으로 이런 영화 되게 좋아요^^ 한중합작 문화 콘텐츠들이 점점 더 많아지길 바라요!,10,1,1,2013-06-25 11:13:00,0
27,황선현(ohye****),"웃다가 울음을 참기도 하면서 보았는데, 괜챦은 영화.",10,1,1,2013-06-24 17:31:00,0
28,구렉(mira****),"왠지 예측가능한 결말이지만, 그래도 감동적인 영화. 오랜만에 눈물흘리게해준영화.",8,1,1,2013-06-24 16:55:00,0
29,B형남자(wogn****),정말 감동적이에요ㅎㅎ 꼭보시길,10,1,1,2013-06-24 03:41:00,0
30,코브라(whan****),이별계약? 아냐아냐. 상업계약!,4,1,1,2013-06-23 21:19:00,0
