,nickname,text,score,like,dislike,time,watch_movie
81,화양연화(clic****),마지막에 폭풍오열ㅠㅠㅠㅜ,9,0,0,2016-06-02 15:36:00,0
82,미아리(pbyn****),여기선 이럴거 같아 하면서 봤는데그런 장면을 예상하고 봐도 펑펑 울엇어 ㅜㅜ,10,0,0,2016-05-30 23:31:00,0
83,예빈(yeab****),진심최고 ㅜㅠㅠ끝에 계속울었다,10,0,0,2016-05-29 22:55:00,0
84,poca****,"악평보면 똑같다,진부하다 하는데 사랑이야기가 다 그렇지 않음? 그래도 난 재밌게 울면서 잘봤ㅠ",9,0,0,2016-05-10 03:49:00,0
85,이수봉(0604****),슬프지만 슬픈사랑이 아니였다.,10,0,0,2016-05-09 13:08:00,0
86,부에나비(sptl****),좋네요 좋아요 보는내내 눈물이 나요,8,0,0,2016-04-09 15:18:00,0
87,ghdw****,이 영화의 진짜 주인공은 음식점 사장님이다.,10,0,0,2016-03-01 19:13:00,0
88,망고캔디(gkaw****),이걸보고 진짜 울었다...ㅠㅠ불쌍해...,10,0,0,2016-02-22 01:16:00,0
89,pigf****,"정말 내용 괜찮았는데, 영화에 뜬금없는 신파를 끼얹음.",6,0,0,2016-02-21 04:27:00,0
90,LP(ogr5****),대륙으로 넘어간 한국 신파.,4,0,0,2016-02-19 16:22:00,0
91,블루베리(kes2****),굉장히 슬퍼서 눈물이 나왔지만 스토리를 생각한다면 너무 억지스럽다,7,0,0,2016-02-16 21:34:00,0
92,렛서(123q****),자칫 진부할 수 있는 소재를 슬프게 풀어내었다.,10,0,0,2016-02-09 20:47:00,0
93,Reez J(nari****),울리려고 작정하면 오히려 눈물 안나던데.. 여주인공 아프고 뻔하겠지 하고 건성건성 보다가.. 갑자기 주르륵. 멈추지 않는 눈물. 국화꽃향기 이후 처음으로 영화보면서 엉엉 울어버렸다.,10,0,0,2016-02-07 21:48:00,0
94,fkgl****,누구나 이별한 경혐이 있다면 보기 좋은 영화,9,0,0,2016-02-01 02:13:00,0
95,해(leec****),진부한 스토리지만 너무 슬픈 영화 계속 울었네,9,0,0,2016-01-31 03:09:00,0
96,지니(gdfh****),코가 막힐정도로 울었다너무슬퍼,10,0,0,2016-01-27 05:46:00,0
97,하콩(go07****),2년이지났지만 여전히 가슴에와닿는스토리.,10,0,0,2016-01-26 16:38:00,0
98,데스티니(ecko****),잘만들었다 끄흑ㅠㅠ시간안아까움,9,0,0,2016-01-24 00:08:00,0
99,허세(qudg****),뻔하지만 울 수 밖에 없다,10,0,0,2016-01-21 01:05:00,0
