,nickname,text,score,like,dislike,time,watch_movie
0,트릭스(juj9****),뻔하고 뻔하지만 눈에선 눈물이 줄줄줄,9,0,0,2016-01-20 17:42:00,0
1,lhl9****,너무 슬픔.. 펑위옌 역시 존잘,10,0,0,2016-01-15 16:01:00,0
2,dbwl****,너무슬퍼요ㅠㅠ남주 멋잇어요ㅠ,10,0,0,2016-01-12 03:21:00,0
3,아름이(pcs2****),ㅠㅠㅠ너무슬퍼요..약간 뻔하지만 좋은 이야기ㅎㅎ,10,0,0,2016-01-11 22:00:00,0
4,라첸(lami****),전형적인 멜로물이라 좋았음 결말도 뻔한데 그래도 잼있음,9,0,0,2016-01-09 13:40:00,0
5,수딩(fami****),너무 좋다 이런 장르 여주 남주 둘다 너무 매력있고 그냥 재밌다ㅜㅜㅜ,10,0,0,2016-01-09 13:28:00,0
6,영래(kret****),"이영화 뻔하다고 하는분들! 사실은 뻔한영화가 아니에요. 결말이 다보이고 예상이 된다고 생각하실텐데 그건 의도된 겁니다. 이미 결말을 알아버리고 정해진 슬픔, 죽음을 기다리면서 영화를볼때의 몰입감과 애절함이 수많은분들...",10,0,0,2016-01-03 20:45:00,0
7,배정진(wjdw****),시작할때 결말이 대충눈에보이지만 그래도 슬펐음,10,0,0,2015-12-26 12:32:00,0
8,뭔개소리야(dhkz****),어쩐지 스토리가 뭔가 한국스러웠는데 감독이 한국인이였구나,10,0,0,2015-12-16 22:29:00,0
9,공주(ssoo****),조제 영화 다음으로 펑펑운 영화 남주의 눈빛연기 정말 슬펐습니다,9,0,0,2015-12-11 02:39:00,0
10,Sovely(kx66****),진짜 계속 울었음ㅠㅠ그리고 여주 진짜 이쁨..♡,10,0,0,2015-12-09 22:57:00,0
11,서나(ccoy****),개인적으로는 정말 와닿는 내용이었어요펑위옌 짱!,10,0,0,2015-11-28 11:56:00,0
12,배향기(gtvb****),스토리는 진부하지만 사랑을 아는 남자의 순수함에 가슴이 저린다,9,0,0,2015-11-27 14:42:00,0
13,푸르른(jhhr****),펭위엔 진짜 잘 생겼고 설레면서 슬프고 재밋으면서 슬픈 영화....,10,0,0,2015-11-17 23:17:00,0
14,이민지(myyo****),뻔한데도 눈물나는 영화 추천해요 ~~,9,0,0,2015-11-08 23:10:00,0
15,안나의작업실(anna****),스토리는 예상했지만 잔잔해서 좋았어요,9,0,0,2015-10-31 01:14:00,0
16,엔젤(choo****),뻔한스토리이지만 뻔한스토리답게 참 재미있긴하네요!지루할틈없이 봤어요.뻔한내용인지 알면서도 얼마나 울었는지..ㅠㅠ슬프고 여운이남네요.주인공들의 비쥬얼도 훈훈해서 좋고ㅎㅎ 감동적이게 봤어요,8,0,0,2015-10-25 02:23:00,0
17,맬롯은비(dmsq****),"여자를  살게해준 추억 . 남자를 강하게 만들어준 추억...서로가 절실했던 두남녀. 그 5년을 함꼐보냈더라면..이란 아쉬움이 남았던,",10,0,0,2015-10-13 01:50:00,0
18,로오숀(prin****),오랜만에 영화같은 영화!,10,0,0,2015-10-11 13:37:00,0
19,다우니(jdu1****),스토리는  뻔하지만   아름다운 영화 ㅜㅜㅜ 배우들의 연기에 눈물흘리면서 봤어요 ㅜㅜㅜㅜ,10,0,0,2015-10-10 22:32:00,0
20,gusgp(ange****),엄청 울었다... 한국감독이만들어서그런지 보는데 부담없이봤다 잘봤어요ㅎ,9,0,0,2015-10-09 02:39:00,0
21,HUT_SO(pree****),뻔한 스토리라 생각들지만 막상보면 눈물바람.. 여운대박 내가본중국영화중에서 젤 찡한 영화다ㅠ 며칠간계속생각날듯....,9,0,0,2015-10-08 19:16:00,0
22,hannah(hann****),전체적인 스토리는 뻔할지도 모르지만 주인공들의 연기에 나도 모르게 웃고 울었다,9,0,0,2015-10-08 15:55:00,0
23,Sy(sssy****),뻔하기도하고 유치하기도햇지만 볼만했음,9,0,0,2015-10-05 02:37:00,0
24,chochocho(kyla****),한국식이지만 중국배우라 더 풋풋하고 순수한 느낌이다.,9,0,0,2015-10-04 02:06:00,0
25,fadfs(ja54****),뻔한멜로.. 알면서 눈물이나는 영화 진심으로 잘만들었습니다,10,0,0,2015-10-03 03:42:00,0
26,카테나치오(pape****),베스트에 이상한 댓글이 있네. 이 영화는 감독만 한국인이 중국 자본의 중국 영화인데 마치 한국영화를 중국에서 찍은 것처럼 얘기를.. 하나더 첨언하자면 원래 곽재용 감독이 맡다가 오기환 감독으로 도중에 바뀌었음.,8,0,0,2015-09-30 05:52:00,0
27,애정공자(ach8****),"나의 첫사랑은 다른나라 어딘가에서  한 남자의 아내로, 한 아이의 엄마로 살아가고 있다. 나는 여전히 우리의 옛날을 생각하며 하루하루를 보내고 있다. 살아 있다면 언젠가 만날 수 있기에 난 그 언젠가를 막연히 기다리...",10,0,0,2015-09-29 18:52:00,0
28,똥구니(aok0****),진심 폭풍 오열 내용이 뻔한 것 같기도 하지만 그래도 좋다,10,0,0,2015-09-29 18:18:00,0
29,뽀잉뽀잉(cont****),완전 재밌어요ㅜㅜㅜㅜ,10,0,0,2015-09-27 21:29:00,0
30,옥이(lmo2****),유치한데 눈물은 겁나 나! ㅠ^ㅠ뻔한 스토린데 폭풍오열함!ㅠ^ㅠ아~ 눈팅이 팅팅 부엇어~,10,0,0,2015-09-27 04:34:00,0
31,lhj2****,제가 본 영화중에 가장슬펐어요 펑펑움,10,0,0,2015-09-25 22:01:00,0
32,코코(clic****),여운을 남기는  영화네요,10,0,0,2015-09-25 21:56:00,0
33,김단숙(kds2****),유치하다고 웃었지만 유치하다고 너무 유치하다고 펑펑울었다,10,0,0,2015-09-20 00:37:00,0
34,ccy1****,"확실히 유치하고, 드라마같이 뻔하다고 느낄수도 있는 내용이지만정말 소리내서 울고 중반부 이후부터는 끝날때까지 계속해서 울면서 본 영화...",10,0,0,2015-09-19 20:29:00,0
35,이송연(olso****),새벽에 너무 울었어요ㅠㅠ 내일 어떻게 일어나ㅜㅅ ㅜ,10,0,0,2015-09-19 04:35:00,0
36,셰미(lkhg****),울었어요.... 너무 마음아파요.. 이런게 진짜 사랑이구나 느꼈어요.. 사랑이라는게 진짜 이런거구나,10,0,0,2015-09-01 23:47:00,0
37,첼시(namj****),뻔한 스토리였지만 충분했다.,7,0,0,2015-08-16 04:10:00,0
38,가애홍이(pohe****),여배우 연기도 좋고 진짜 공감가는 영화,10,0,0,2015-07-16 14:39:00,0
39,첸아이(fani****),입덕이요;;;;ㅜㅠㅠ,10,0,0,2015-07-14 17:36:00,0
40,jy01****,눈물 줄줄 흘리면서 봤다...,10,0,0,2015-07-12 02:54:00,0
41,사랑이(rest****),"너무 뻔해서 좋았고, 뻔해서 슬펐던 영화",9,0,0,2015-07-05 12:57:00,0
42,up(whyf****),중화티비보다 우연히 보게 되었는데 짠했음. 눈물 날 뻔 했다.,8,0,0,2015-06-13 19:05:00,0
43,bosmin(nikk****),뻔하지만 보고싶은 영화,8,0,0,2015-04-15 21:18:00,0
44,두리안(icec****),정말 뻔하지만 질리진 않네,4,0,0,2015-04-06 02:09:00,0
45,pongpong(phs4****),조금 더 현실적으로 그렸다면 어땠을까? 환자의 마지막 모습이 너무 예쁘게만 보이는 느낌..  여배우의 감정연기도 아쉬운거같아요..  스토리는 뻔하다지만 나름 예쁜영화네요..,7,0,0,2015-04-01 02:00:00,0
46,Sabi(jeum****),뻔하지만 눈물이 나오는 그런 영화,7,0,0,2015-04-01 01:48:00,0
47,서전(cirz****),이 새벽에 펑펑울어버렸다.,10,0,0,2015-04-01 01:44:00,0
