형태소,품사,분류,카운트
떨리고,Verb,나의 소녀시대,2
떨리고,Verb,말할 수 없는 비밀,4
떨리네,Verb,나의 소녀시대,1
떨리네요,Verb,그시절 우리가 좋아했던 소녀,1
떨리네요,Verb,말할 수 없는 비밀,1
떨리는,Verb,그시절 우리가 좋아했던 소녀,1
떨리는,Verb,나의 소녀시대,2
떨리는,Verb,말할 수 없는 비밀,12
떨리는것을,Verb,말할 수 없는 비밀,1
떨리면서,Verb,말할 수 없는 비밀,1
떨리진,Verb,패왕별희,1
떨린다,Verb,그시절 우리가 좋아했던 소녀,1
떨린다,Verb,나의 소녀시대,1
떨린다,Verb,말할 수 없는 비밀,6
떨린다,Verb,패왕별희,2
떨릴,Verb,말할 수 없는 비밀,1
떨릴수있다니,Verb,시절인연,1
떨림,Verb,그시절 우리가 좋아했던 소녀,1
떨림과,Verb,그시절 우리가 좋아했던 소녀,1
떨림도,Verb,말할 수 없는 비밀,1
떨림을,Verb,그시절 우리가 좋아했던 소녀,1
떨림을,Verb,말할 수 없는 비밀,3
떨림이,Verb,그시절 우리가 좋아했던 소녀,1
떨림이,Verb,나의 소녀시대,1
떨립니다,Verb,그시절 우리가 좋아했던 소녀,1
떨어,Verb,나의 소녀시대,1
떨어,Verb,말할 수 없는 비밀,2
떨어,Verb,패왕별희,1
떨어뜨렸다,Verb,그시절 우리가 좋아했던 소녀,1
떨어뜨리는,Verb,말할 수 없는 비밀,1
떨어뜨린다,Verb,말할 수 없는 비밀,1
떨어져,Verb,나의 소녀시대,3
떨어져,Verb,말할 수 없는 비밀,3
떨어져도,Verb,말할 수 없는 비밀,1
떨어져서,Verb,5일의마중,1
떨어져서,Verb,그시절 우리가 좋아했던 소녀,1
떨어져서,Verb,말할 수 없는 비밀,2
떨어져서,Verb,청설,1
떨어져서,Verb,패왕별희,1
떨어져요,Verb,말할 수 없는 비밀,1
떨어졌나,Verb,말할 수 없는 비밀,1
떨어졌네,Verb,패왕별희,1
떨어졌는데,Verb,나의 소녀시대,1
떨어졌다,Verb,나의 소녀시대,2
떨어졌다,Verb,말할 수 없는 비밀,2
떨어졌다는게,Verb,그시절 우리가 좋아했던 소녀,1
떨어졌으나,Verb,청설,1
떨어졌으니,Verb,말할 수 없는 비밀,1
떨어졌음,Verb,말할 수 없는 비밀,1
떨어졌지만,Verb,나의 소녀시대,1
떨어지,Verb,나의 소녀시대,1
떨어지게,Verb,그시절 우리가 좋아했던 소녀,1
떨어지고,Verb,그시절 우리가 좋아했던 소녀,5
떨어지고,Verb,나의 소녀시대,2
떨어지고,Verb,말할 수 없는 비밀,1
떨어지고,Verb,시절인연,1
떨어지긴,Verb,나의 소녀시대,2
떨어지긴,Verb,말할 수 없는 비밀,1
떨어지네,Verb,말할 수 없는 비밀,1
떨어지네요,Verb,그시절 우리가 좋아했던 소녀,1
떨어지네요,Verb,청설,1
떨어지는,Verb,그시절 우리가 좋아했던 소녀,4
떨어지는,Verb,나의 소녀시대,6
떨어지는,Verb,말할 수 없는 비밀,8
떨어지는,Verb,청설,4
떨어지는,Verb,패왕별희,1
떨어지는가에,Verb,말할 수 없는 비밀,1
떨어지는건,Verb,말할 수 없는 비밀,1
떨어지는것,Verb,말할 수 없는 비밀,1
떨어지는게,Verb,패왕별희,1
떨어지는데,Verb,말할 수 없는 비밀,1
떨어지는듯,Verb,그시절 우리가 좋아했던 소녀,1
떨어지는듯,Verb,말할 수 없는 비밀,1
떨어지는줄,Verb,청설,1
떨어지더라,Verb,말할 수 없는 비밀,1
떨어지므로,Verb,그시절 우리가 좋아했던 소녀,1
떨어지지,Verb,말할 수 없는 비밀,1
떨어지지,Verb,청설,2
떨어지지도,Verb,나의 소녀시대,1
떨어지지만,Verb,말할 수 없는 비밀,2
떨어진,Verb,그시절 우리가 좋아했던 소녀,2
떨어진,Verb,말할 수 없는 비밀,3
떨어진거죠,Verb,말할 수 없는 비밀,1
떨어진게,Verb,패왕별희,1
떨어진다,Verb,그시절 우리가 좋아했던 소녀,1
떨어진다,Verb,나의 소녀시대,2
떨어진다,Verb,말할 수 없는 비밀,6
떨어진다고,Verb,나의 소녀시대,1
떨어질,Verb,말할 수 없는 비밀,3
떨어질까봐,Verb,청설,1
떨어짐,Verb,그시절 우리가 좋아했던 소녀,2
떨어짐,Verb,나의 소녀시대,6
떨어짐,Verb,말할 수 없는 비밀,4
떨어트려,Noun,말할 수 없는 비밀,1
떨어트린,Noun,말할 수 없는 비밀,1
떨었음,Verb,말할 수 없는 비밀,1
떨쳐,Verb,그시절 우리가 좋아했던 소녀,1
떨쳐,Verb,말할 수 없는 비밀,1
떪,Noun,나의 소녀시대,1
떳,Noun,말할 수 없는 비밀,1
떳나,Noun,말할 수 없는 비밀,1
떳다,Noun,말할 수 없는 비밀,1
떳떳하게,Adjective,그시절 우리가 좋아했던 소녀,1
떳어,Noun,말할 수 없는 비밀,1
떳으,Noun,말할 수 없는 비밀,1
떳을껄,Noun,말할 수 없는 비밀,1
떳을때,Noun,말할 수 없는 비밀,1
떴길래,Verb,그시절 우리가 좋아했던 소녀,1
떴네,Verb,말할 수 없는 비밀,1
떴다,Verb,패왕별희,1
떴습니다,Verb,말할 수 없는 비밀,1
떴어야,Verb,말할 수 없는 비밀,1
떴음,Verb,말할 수 없는 비밀,1
떴지,Verb,말할 수 없는 비밀,1
떼,Noun,그시절 우리가 좋아했던 소녀,1
떼,Noun,나의 소녀시대,1
떼고,Verb,패왕별희,1
떼고다,Verb,말할 수 없는 비밀,1
떼어,Verb,말할 수 없는 비밀,1
떼지,Verb,말할 수 없는 비밀,2
뗀지,Verb,말할 수 없는 비밀,1
뗄,Verb,나의 소녀시대,1
뗄,Verb,말할 수 없는 비밀,2
뗄,Verb,청설,2
뗄수,Verb,말할 수 없는 비밀,13
뗄수가,Verb,말할 수 없는 비밀,5
뗄수가,Verb,패왕별희,1
뗐던,Verb,말할 수 없는 비밀,1
뗼수,Noun,말할 수 없는 비밀,1
또,Noun,5일의마중,17
또,Noun,그시절 우리가 좋아했던 소녀,158
또,Noun,나의 소녀시대,126
또,Noun,말할 수 없는 비밀,897
또,Noun,시절인연,6
또,Noun,청설,22
또,Noun,패왕별희,50
또고,Noun,청설,1
또는,Adverb,그시절 우리가 좋아했던 소녀,2
또는,Adverb,말할 수 없는 비밀,2
또는,Adverb,청설,1
또다른,Modifier,5일의마중,3
또다른,Modifier,그시절 우리가 좋아했던 소녀,5
또다른,Modifier,말할 수 없는 비밀,14
또다른,Modifier,패왕별희,2
또다시,Adverb,그시절 우리가 좋아했던 소녀,2
또다시,Adverb,말할 수 없는 비밀,7
또다시,Adverb,청설,1
또또,Noun,말할 수 없는 비밀,7
또래,Noun,그시절 우리가 좋아했던 소녀,2
또래,Noun,나의 소녀시대,1
또르르,Noun,그시절 우리가 좋아했던 소녀,1
또바,Noun,말할 수 없는 비밀,6
또보,Noun,말할 수 없는 비밀,1
또볼,Noun,나의 소녀시대,1
또볼,Noun,말할 수 없는 비밀,5
또봄,Noun,그시절 우리가 좋아했던 소녀,1
또봄,Noun,나의 소녀시대,1
또봄,Noun,말할 수 없는 비밀,2
또봐도재밋음,Noun,말할 수 없는 비밀,1
또봣,Noun,말할 수 없는 비밀,1
또봣는데,Noun,말할 수 없는 비밀,2
또안,Noun,말할 수 없는 비밀,1
또울엇네,Noun,말할 수 없는 비밀,1
또한,Modifier,나의 소녀시대,1
또한,Modifier,말할 수 없는 비밀,8
또한,Modifier,패왕별희,1
또한,Noun,5일의마중,3
또한,Noun,그시절 우리가 좋아했던 소녀,10
또한,Noun,나의 소녀시대,4
또한,Noun,말할 수 없는 비밀,34
또한,Noun,청설,8
또한,Noun,패왕별희,5
똑,Noun,나의 소녀시대,1
똑,Noun,말할 수 없는 비밀,2
똑같고,Adjective,말할 수 없는 비밀,1
똑같냐,Adjective,나의 소녀시대,1
똑같네,Adjective,그시절 우리가 좋아했던 소녀,1
똑같네,Adjective,말할 수 없는 비밀,3
똑같다,Adjective,청설,1
똑같아,Adjective,나의 소녀시대,1
똑같아,Adjective,말할 수 없는 비밀,1
똑같아서,Adjective,그시절 우리가 좋아했던 소녀,2
똑같아서,Adjective,나의 소녀시대,1
똑같아서,Adjective,말할 수 없는 비밀,1
똑같아요,Adjective,나의 소녀시대,1
똑같았다,Adjective,말할 수 없는 비밀,1
똑같은,Adjective,그시절 우리가 좋아했던 소녀,5
똑같은,Adjective,나의 소녀시대,5
똑같은,Adjective,말할 수 없는 비밀,8
똑같은걸,Adjective,말할 수 없는 비밀,1
똑같은지,Adjective,말할 수 없는 비밀,1
똑같이,Adverb,그시절 우리가 좋아했던 소녀,2
똑같이,Adverb,나의 소녀시대,3
똑같이,Adverb,말할 수 없는 비밀,3
똑같지라고,Adjective,말할 수 없는 비밀,1
똑같치,Adjective,그시절 우리가 좋아했던 소녀,1
똑똑하고,Adjective,말할 수 없는 비밀,1
똑똑하다,Adjective,말할 수 없는 비밀,1
똑똑한,Adjective,나의 소녀시대,1
똑똑한,Adjective,말할 수 없는 비밀,1
똑똑한,Adjective,패왕별희,1
똑똑한것,Adjective,말할 수 없는 비밀,1
똘끼,Noun,그시절 우리가 좋아했던 소녀,2
똘똘뭉쳐,Noun,패왕별희,1
똘똘이,Noun,그시절 우리가 좋아했던 소녀,1
똠,Noun,나의 소녀시대,1
똥,Noun,그시절 우리가 좋아했던 소녀,3
똥,Noun,나의 소녀시대,1
똥,Noun,말할 수 없는 비밀,4
똥구멍,Noun,말할 수 없는 비밀,1
똥꼬,Noun,패왕별희,1
똥임,Noun,말할 수 없는 비밀,1
뚜,Noun,말할 수 없는 비밀,1
뚜껑,Noun,말할 수 없는 비밀,2
뚜둥,Noun,말할 수 없는 비밀,1
뚜렷하게,Adjective,말할 수 없는 비밀,1
뚜렷한,Adjective,그시절 우리가 좋아했던 소녀,1
뚜렷한,Adjective,청설,1
뚜렷한,Adjective,패왕별희,1
뚜렷해서,Adjective,그시절 우리가 좋아했던 소녀,1
뚝,Noun,나의 소녀시대,1
뚝,Noun,말할 수 없는 비밀,2
뚝,Noun,패왕별희,1
뚝뚝,Noun,그시절 우리가 좋아했던 소녀,2
뚝뚝,Noun,나의 소녀시대,2
뚝뚝,Noun,말할 수 없는 비밀,4
뚝뚝,Noun,청설,1
뚝뚝,Noun,패왕별희,1
뚫고,Verb,말할 수 없는 비밀,1
뚫고,Verb,패왕별희,1
뚫려있다,Verb,말할 수 없는 비밀,1
뚫리는,Verb,나의 소녀시대,1
뚱땅거리,Noun,말할 수 없는 비밀,1
뚱땡이,Noun,그시절 우리가 좋아했던 소녀,1
뚱땡이,Noun,말할 수 없는 비밀,1
뚱보,Noun,그시절 우리가 좋아했던 소녀,4
뛰,Verb,그시절 우리가 좋아했던 소녀,1
뛰,Verb,나의 소녀시대,5
뛰,Verb,말할 수 없는 비밀,2
뛰,Verb,패왕별희,1
뛰게,Verb,나의 소녀시대,6
뛰게,Verb,말할 수 없는 비밀,4
뛰게,Verb,청설,2
뛰고,Verb,그시절 우리가 좋아했던 소녀,1
뛰고,Verb,나의 소녀시대,1
뛰고,Verb,말할 수 없는 비밀,3
뛰고,Verb,청설,2
뛰네,Verb,말할 수 없는 비밀,1
뛰네요,Verb,그시절 우리가 좋아했던 소녀,1
뛰네요,Verb,나의 소녀시대,1
뛰네요,Verb,말할 수 없는 비밀,1
뛰는,Verb,그시절 우리가 좋아했던 소녀,1
뛰는,Verb,나의 소녀시대,1
뛰는,Verb,말할 수 없는 비밀,10
뛰는구나,Verb,말할 수 없는 비밀,1
뛰는듯,Verb,말할 수 없는 비밀,1
뛰는지,Verb,말할 수 없는 비밀,1
뛰어,Verb,5일의마중,1
뛰어,Verb,그시절 우리가 좋아했던 소녀,1
뛰어,Verb,말할 수 없는 비밀,2
뛰어,Verb,패왕별희,1
뛰어가는,Verb,나의 소녀시대,1
뛰어가는,Verb,말할 수 없는 비밀,3
뛰어가는게,Verb,말할 수 없는 비밀,1
뛰어가시던,Verb,말할 수 없는 비밀,1
뛰어간,Verb,나의 소녀시대,1
뛰어나,Adjective,말할 수 없는 비밀,2
뛰어나고,Adjective,5일의마중,1
뛰어나고,Adjective,그시절 우리가 좋아했던 소녀,1
뛰어나다,Adjective,말할 수 없는 비밀,4
뛰어나서,Adjective,패왕별희,1
뛰어나진,Adjective,나의 소녀시대,1
뛰어나진,Adjective,청설,1
뛰어난,Adjective,5일의마중,3
뛰어난,Adjective,그시절 우리가 좋아했던 소녀,1
뛰어난,Adjective,나의 소녀시대,1
뛰어난,Adjective,말할 수 없는 비밀,25
뛰어난,Adjective,청설,1
뛰어난,Adjective,패왕별희,8
뛰어난건,Adjective,말할 수 없는 비밀,2
뛰어난데,Adjective,말할 수 없는 비밀,1
뛰어날,Adjective,말할 수 없는 비밀,1
뛰어남,Adjective,말할 수 없는 비밀,1
뛰어납니다,Adjective,그시절 우리가 좋아했던 소녀,1
뛰어났다,Adjective,청설,1
뛰어났던,Adjective,말할 수 없는 비밀,1
뛰어났던,Adjective,시절인연,1
뛰어났지만,Adjective,5일의마중,1
뛰어났지만,Adjective,말할 수 없는 비밀,1
뛰어내린,Verb,패왕별희,1
뛰어넘고,Verb,말할 수 없는 비밀,1
뛰어넘나,Verb,말할 수 없는 비밀,1
뛰어넘네,Verb,말할 수 없는 비밀,1
뛰어넘는,Verb,말할 수 없는 비밀,36
뛰어넘는,Verb,패왕별희,2
뛰어넘는것이다,Verb,말할 수 없는 비밀,1
뛰어넘는다,Verb,말할 수 없는 비밀,1
뛰어넘다,Verb,말할 수 없는 비밀,1
뛰어넘어,Verb,말할 수 없는 비밀,1
뛰어넘었다,Verb,말할 수 없는 비밀,1
뛰어넘었던,Verb,말할 수 없는 비밀,1
뛰어넘은,Verb,말할 수 없는 비밀,11
뛰어넘을,Verb,그시절 우리가 좋아했던 소녀,2
뛰어넘을,Verb,나의 소녀시대,1
뛰어넘을,Verb,말할 수 없는 비밀,1
뛰어넘진,Verb,그시절 우리가 좋아했던 소녀,1
뛰어든것은,Verb,패왕별희,1
뛰어들어,Verb,말할 수 없는 비밀,1
뛰어서,Verb,말할 수 없는 비밀,1
뛰어서,Verb,패왕별희,1
뛰어줘라,Verb,말할 수 없는 비밀,1
뛰었거든,Verb,말할 수 없는 비밀,1
뛰었다,Verb,말할 수 없는 비밀,2
뛰었을,Verb,말할 수 없는 비밀,1
뛴,Verb,말할 수 없는 비밀,2
뛴거,Verb,말할 수 없는 비밀,1
뛴다,Verb,그시절 우리가 좋아했던 소녀,1
뛴다,Verb,말할 수 없는 비밀,3
뛴다,Verb,청설,1
뛴다는,Verb,말할 수 없는 비밀,1
뛸,Verb,말할 수 없는 비밀,1
뛸것이다,Verb,말할 수 없는 비밀,1
뜁니다,Verb,그시절 우리가 좋아했던 소녀,1
뜨,Verb,나의 소녀시대,1
뜨,Verb,말할 수 없는 비밀,5
뜨,Verb,청설,1
뜨,Verb,패왕별희,1
뜨거,Adjective,패왕별희,1
뜨거운,Adjective,청설,1
뜨거운,Adjective,패왕별희,1
뜨거운것이,Adjective,말할 수 없는 비밀,1
뜨거워,Adjective,말할 수 없는 비밀,1
뜨거워,Adjective,시절인연,1
뜨거워졌다,Adjective,그시절 우리가 좋아했던 소녀,1
뜨거워졌다,Adjective,나의 소녀시대,1
뜨거워지게,Adjective,말할 수 없는 비밀,1
뜨거워지고,Adjective,패왕별희,1
뜨거워지는,Adjective,5일의마중,1
뜨거워지는,Adjective,나의 소녀시대,2
뜨거워지는,Adjective,말할 수 없는 비밀,4
뜨거웠던,Adjective,그시절 우리가 좋아했던 소녀,1
뜨겁게,Adjective,그시절 우리가 좋아했던 소녀,2
뜨겁게,Adjective,나의 소녀시대,1
뜨겁게,Adjective,말할 수 없는 비밀,2
뜨겁고,Adjective,패왕별희,1
뜨겁구나,Adjective,그시절 우리가 좋아했던 소녀,1
뜨게,Verb,말할 수 없는 비밀,1
뜨고,Verb,시절인연,1
뜨나,Verb,말할 수 없는 비밀,1
뜨는건,Verb,그시절 우리가 좋아했던 소녀,1
뜨도록,Verb,그시절 우리가 좋아했던 소녀,1
뜨려,Verb,말할 수 없는 비밀,1
뜨면,Verb,청설,1
뜨아,Verb,그시절 우리가 좋아했던 소녀,1
뜨지,Verb,말할 수 없는 비밀,2
뜩떠올랏,Noun,말할 수 없는 비밀,1
뜬거,Verb,그시절 우리가 좋아했던 소녀,1
뜬거지,Verb,말할 수 없는 비밀,1
뜬게,Verb,말할 수 없는 비밀,1
뜬금,Noun,5일의마중,1
뜬금,Noun,그시절 우리가 좋아했던 소녀,9
뜬금,Noun,나의 소녀시대,3
뜬금,Noun,말할 수 없는 비밀,6
뜬금,Noun,시절인연,1
뜬금,Noun,청설,5
뜬금없이,Adverb,그시절 우리가 좋아했던 소녀,5
뜬금없이,Adverb,나의 소녀시대,1
뜬금없이,Adverb,말할 수 없는 비밀,5
뜯겼습니다,Verb,말할 수 없는 비밀,1
뜯는,Verb,패왕별희,1
뜯어,Verb,그시절 우리가 좋아했던 소녀,1
뜯어도,Verb,말할 수 없는 비밀,1
뜯었네요,Verb,나의 소녀시대,1
뜯으면서,Verb,나의 소녀시대,1
뜰,Noun,말할 수 없는 비밀,3
뜰,Noun,패왕별희,1
뜰때,Noun,패왕별희,1
뜰수,Verb,그시절 우리가 좋아했던 소녀,1
뜰수,Verb,말할 수 없는 비밀,1
뜰줄,Verb,말할 수 없는 비밀,1
뜸,Noun,나의 소녀시대,2
뜸,Noun,말할 수 없는 비밀,12
뜸,Noun,청설,1
뜻,Noun,5일의마중,3
뜻,Noun,그시절 우리가 좋아했던 소녀,7
뜻,Noun,나의 소녀시대,2
뜻,Noun,말할 수 없는 비밀,16
뜻,Noun,시절인연,1
뜻,Noun,청설,2
뜻,Noun,패왕별희,4
뜻대로,Adverb,5일의마중,1
뜻밖,Noun,그시절 우리가 좋아했던 소녀,1
뜻밖,Noun,말할 수 없는 비밀,2
뜻함,Noun,그시절 우리가 좋아했던 소녀,1
띄게,Verb,그시절 우리가 좋아했던 소녀,1
띄게,Verb,말할 수 없는 비밀,1
띄게,Verb,청설,1
띄게,Verb,패왕별희,1
띄는,Verb,나의 소녀시대,1
띄는,Verb,패왕별희,1
띄며,Verb,그시절 우리가 좋아했던 소녀,1
띄어,Verb,패왕별희,1
띄어주는,Verb,말할 수 없는 비밀,1
띄어주는거고,Verb,말할 수 없는 비밀,1
띄엄띄엄,Noun,말할 수 없는 비밀,1
띄엄봐,Noun,말할 수 없는 비밀,1
띄우고,Verb,청설,1
띄우는,Verb,그시절 우리가 좋아했던 소녀,1
띄워놓은,Verb,나의 소녀시대,1
띈,Verb,말할 수 없는 비밀,1
띈다,Verb,그시절 우리가 좋아했던 소녀,1
띈다,Verb,말할 수 없는 비밀,2
띠,Noun,그시절 우리가 좋아했던 소녀,1
띠,Noun,말할 수 없는 비밀,1
띠방,Noun,그시절 우리가 좋아했던 소녀,1
띠용,Noun,나의 소녀시대,1
띠용,Noun,말할 수 없는 비밀,1
띵,Noun,그시절 우리가 좋아했던 소녀,1
띵,Noun,말할 수 없는 비밀,1
띵똥거리,Noun,말할 수 없는 비밀,1
띵띵,Adverb,나의 소녀시대,1
띵작,Noun,그시절 우리가 좋아했던 소녀,4
띵작,Noun,나의 소녀시대,3
띵작,Noun,말할 수 없는 비밀,4
띵작,Noun,패왕별희,2
띵작띵작,Noun,패왕별희,1
띵작임,Noun,말할 수 없는 비밀,3
띵호,Noun,5일의마중,1
띵호와,Noun,말할 수 없는 비밀,1
라,Josa,5일의마중,9
라,Josa,그시절 우리가 좋아했던 소녀,62
라,Josa,나의 소녀시대,48
라,Josa,말할 수 없는 비밀,221
라,Josa,시절인연,2
라,Josa,청설,21
라,Josa,패왕별희,20
라고,Josa,5일의마중,5
라고,Josa,그시절 우리가 좋아했던 소녀,73
라고,Josa,나의 소녀시대,25
라고,Josa,말할 수 없는 비밀,294
라고,Josa,시절인연,3
라고,Josa,청설,17
라고,Josa,패왕별희,40
라고는,Josa,그시절 우리가 좋아했던 소녀,2
라고는,Josa,말할 수 없는 비밀,5
라고는,Josa,패왕별희,2
라고도,Eomi,나의 소녀시대,1
라곤,Josa,나의 소녀시대,1
라곤,Josa,말할 수 없는 비밀,1
라그,Noun,그시절 우리가 좋아했던 소녀,2
라그,Noun,말할 수 없는 비밀,1
라기,Josa,그시절 우리가 좋아했던 소녀,3
라기,Josa,말할 수 없는 비밀,1
라기,Josa,청설,1
라기보다는,Josa,나의 소녀시대,1
라기보단,Josa,패왕별희,1
라나,Noun,말할 수 없는 비밀,1
라나,Noun,시절인연,1
라네,Josa,말할 수 없는 비밀,3
라는,Josa,5일의마중,14
라는,Josa,그시절 우리가 좋아했던 소녀,45
라는,Josa,나의 소녀시대,20
라는,Josa,말할 수 없는 비밀,243
라는,Josa,시절인연,6
라는,Josa,청설,13
라는,Josa,패왕별희,24
라는데,Eomi,나의 소녀시대,1
라니,Josa,5일의마중,2
라니,Josa,그시절 우리가 좋아했던 소녀,16
라니,Josa,나의 소녀시대,8
라니,Josa,말할 수 없는 비밀,23
라니,Josa,패왕별희,2
라니깐,Josa,말할 수 없는 비밀,1
라다,Noun,그시절 우리가 좋아했던 소녀,2
라다,Noun,나의 소녀시대,1
라도,Foreign,패왕별희,1
라도,Josa,그시절 우리가 좋아했던 소녀,8
라도,Josa,나의 소녀시대,11
라도,Josa,말할 수 없는 비밀,24
라도,Josa,시절인연,2
라도,Josa,청설,1
라도,Josa,패왕별희,5
라든가,Josa,말할 수 없는 비밀,2
라든지,Josa,그시절 우리가 좋아했던 소녀,1
라디오,Noun,나의 소녀시대,1
라디오,Noun,말할 수 없는 비밀,1
라디오스타,Noun,5일의마중,1
라라,Noun,그시절 우리가 좋아했던 소녀,2
라라,Noun,나의 소녀시대,1
라라,Noun,패왕별희,1
라마,Noun,그시절 우리가 좋아했던 소녀,2
라마,Noun,말할 수 없는 비밀,1
라만,Noun,말할 수 없는 비밀,1
라멘,Noun,5일의마중,1
라며,Noun,그시절 우리가 좋아했던 소녀,1
라면,Noun,5일의마중,5
라면,Noun,그시절 우리가 좋아했던 소녀,37
라면,Noun,나의 소녀시대,20
라면,Noun,말할 수 없는 비밀,49
라면,Noun,시절인연,1
라면,Noun,청설,5
라면,Noun,패왕별희,8
라바,Noun,청설,1
라반,Noun,나의 소녀시대,1
라빈,Noun,말할 수 없는 비밀,1
라서,Josa,5일의마중,1
라서,Josa,그시절 우리가 좋아했던 소녀,20
라서,Josa,나의 소녀시대,16
라서,Josa,말할 수 없는 비밀,47
라서,Josa,시절인연,3
라서,Josa,청설,3
라서,Josa,패왕별희,2
라서,Noun,나의 소녀시대,2
라스트,Noun,5일의마중,1
라스트,Noun,그시절 우리가 좋아했던 소녀,1
라스트,Noun,말할 수 없는 비밀,4
라시,Noun,말할 수 없는 비밀,1
라오,Josa,말할 수 없는 비밀,1
라울,Noun,말할 수 없는 비밀,2
라이,Noun,나의 소녀시대,1
라이,Noun,말할 수 없는 비밀,1
라이벌,Noun,패왕별희,1
라이트,Noun,말할 수 없는 비밀,2
라이트,Noun,청설,2
라인,Noun,그시절 우리가 좋아했던 소녀,3
라인,Noun,나의 소녀시대,3
라인,Noun,말할 수 없는 비밀,11
라인,Noun,패왕별희,1
라인업,Noun,패왕별희,1
라일락,Noun,말할 수 없는 비밀,1
라지,Josa,그시절 우리가 좋아했던 소녀,1
라지,Noun,말할 수 없는 비밀,3
라칸,Noun,말할 수 없는 비밀,1
락안,Noun,말할 수 없는 비밀,1
란,Noun,5일의마중,4
란,Noun,그시절 우리가 좋아했던 소녀,8
란,Noun,나의 소녀시대,10
란,Noun,말할 수 없는 비밀,46
란,Noun,청설,4
란,Noun,패왕별희,10
란거,Noun,말할 수 없는 비밀,1
란건,Noun,청설,1
란걸,Noun,말할 수 없는 비밀,2
란걸,Noun,시절인연,1
란것,Noun,말할 수 없는 비밀,1
란말,Noun,그시절 우리가 좋아했던 소녀,1
란말,Noun,말할 수 없는 비밀,13
란말,Noun,청설,2
란말,Noun,패왕별희,1
란뭐,Noun,말할 수 없는 비밀,1
랃,Noun,말할 수 없는 비밀,1
랄,Noun,그시절 우리가 좋아했던 소녀,7
랄,Noun,나의 소녀시대,11
랄,Noun,말할 수 없는 비밀,44
랄,Noun,청설,7
랄,Noun,패왕별희,3
랄것,Noun,말할 수 없는 비밀,1
랄라,Adverb,말할 수 없는 비밀,4
람,Noun,그시절 우리가 좋아했던 소녀,1
람,Noun,나의 소녀시대,1
람다,Noun,그시절 우리가 좋아했던 소녀,1
람보,Noun,말할 수 없는 비밀,2
람사,Noun,말할 수 없는 비밀,1
랍,Noun,말할 수 없는 비밀,1
랍니,Noun,말할 수 없는 비밀,1
랍시고,Noun,그시절 우리가 좋아했던 소녀,1
랍시고,Noun,말할 수 없는 비밀,3
랏,Noun,그시절 우리가 좋아했던 소녀,1
랏,Noun,말할 수 없는 비밀,6
랏다,Noun,말할 수 없는 비밀,1
랏습니,Noun,그시절 우리가 좋아했던 소녀,1
랏음,Noun,말할 수 없는 비밀,1
랏음,Noun,청설,1
랐음,Noun,나의 소녀시대,1
랑,Josa,5일의마중,1
랑,Josa,그시절 우리가 좋아했던 소녀,91
랑,Josa,나의 소녀시대,85
랑,Josa,말할 수 없는 비밀,145
랑,Josa,청설,19
랑,Josa,패왕별희,13
랑스,Noun,말할 수 없는 비밀,1
랑은,Josa,그시절 우리가 좋아했던 소녀,7
랑은,Josa,나의 소녀시대,2
랑은,Josa,말할 수 없는 비밀,2
랑은,Josa,청설,1
랔,Noun,그시절 우리가 좋아했던 소녀,1
래,Josa,5일의마중,2
래,Josa,그시절 우리가 좋아했던 소녀,23
래,Josa,나의 소녀시대,11
래,Josa,말할 수 없는 비밀,51
래,Josa,시절인연,1
래,Josa,청설,3
래,Josa,패왕별희,3
래서,Noun,그시절 우리가 좋아했던 소녀,5
래서,Noun,나의 소녀시대,1
래서,Noun,말할 수 없는 비밀,4
래야,Noun,말할 수 없는 비밀,7
래야,Noun,청설,1
래지,Noun,나의 소녀시대,1
랜,Noun,말할 수 없는 비밀,1
랜드,Noun,그시절 우리가 좋아했던 소녀,2
랜드,Noun,말할 수 없는 비밀,1
램,Noun,나의 소녀시대,1
랩,Noun,그시절 우리가 좋아했던 소녀,7
랩,Noun,나의 소녀시대,3
랩,Noun,패왕별희,1
랫,Noun,그시절 우리가 좋아했던 소녀,4
랫,Noun,말할 수 없는 비밀,7
랫,Noun,패왕별희,1
랬,Noun,그시절 우리가 좋아했던 소녀,1
랬,Noun,말할 수 없는 비밀,3
랭킹,Noun,말할 수 없는 비밀,6
랭킹,Noun,패왕별희,1
랴,Noun,나의 소녀시대,1
랴,Noun,패왕별희,1
랸,Noun,패왕별희,1
러,Noun,나의 소녀시대,1
러,Noun,말할 수 없는 비밀,3
러,Noun,청설,1
러,Noun,패왕별희,1
러닝,Noun,그시절 우리가 좋아했던 소녀,2
러닝,Noun,나의 소녀시대,6
러닝,Noun,말할 수 없는 비밀,1
러닝,Noun,패왕별희,19
러브,Noun,그시절 우리가 좋아했던 소녀,4
러브,Noun,나의 소녀시대,3
러브,Noun,말할 수 없는 비밀,12
러브러브,Noun,그시절 우리가 좋아했던 소녀,2
러브레터,Noun,5일의마중,1
러브레터,Noun,그시절 우리가 좋아했던 소녀,8
러브레터,Noun,말할 수 없는 비밀,49
러브레터,Noun,시절인연,1
러브스토리,Noun,5일의마중,1
러브스토리,Noun,그시절 우리가 좋아했던 소녀,1
러브스토리,Noun,나의 소녀시대,3
러브스토리,Noun,말할 수 없는 비밀,42
러브스토리,Noun,청설,7
러브신,Noun,말할 수 없는 비밀,2
러브액츄얼리,Noun,말할 수 없는 비밀,3
