형태소,품사,분류,카운트
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,2
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!',Punctuation,그시절 우리가 좋아했던 소녀,1
!!!!!!!!!!^_^,Punctuation,말할 수 없는 비밀,1
!!!!!!!!!),Punctuation,말할 수 없는 비밀,1
!!!!!!!!!><,Punctuation,말할 수 없는 비밀,1
!!!!!!!!>,Punctuation,말할 수 없는 비밀,1
!!!!!!!!>_<,Punctuation,말할 수 없는 비밀,1
"!!!!!!!,",Punctuation,패왕별희,1
!!!!!!!>_<,Punctuation,말할 수 없는 비밀,1
!!!!!!!~~~~~~~~~~~~~~~~~~,Punctuation,말할 수 없는 비밀,1
!!!!!!..........,Punctuation,그시절 우리가 좋아했던 소녀,1
!!!!!>_<,Punctuation,말할 수 없는 비밀,1
!!!!!@@,Punctuation,말할 수 없는 비밀,1
!!!!..,Punctuation,나의 소녀시대,1
!!!!>_<,Punctuation,말할 수 없는 비밀,1
!!!!????!!,Punctuation,그시절 우리가 좋아했던 소녀,1
!!!!^^,Punctuation,그시절 우리가 좋아했던 소녀,1
!!!!^^,Punctuation,말할 수 없는 비밀,1
!!!!~~,Punctuation,말할 수 없는 비밀,1
!!!&,Punctuation,말할 수 없는 비밀,2
!!!--,Punctuation,말할 수 없는 비밀,1
!!!.!,Punctuation,나의 소녀시대,1
!!!.!!!.!!!,Punctuation,말할 수 없는 비밀,1
!!!..,Punctuation,말할 수 없는 비밀,1
!!!...,Punctuation,말할 수 없는 비밀,1
!!!...,Punctuation,패왕별희,1
!!!>,Punctuation,말할 수 없는 비밀,2
!!!>_<,Punctuation,말할 수 없는 비밀,1
